time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2019/07/11/08:55:57.604048,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.656829,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.703392,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.763877,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.804028,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.854963,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.904479,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:57.959839,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.008301,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.069624,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.124992,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.169517,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.209470,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.257976,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.308213,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.359916,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.408713,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.459486,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.508914,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.560033,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.610289,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.660103,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.711234,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.760764,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.774137,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.824535,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.826768,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.877202,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.916559,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.938747,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:58.988663,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.038590,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.088884,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.142198,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.189652,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.201546,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.246593,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.297720,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.336551,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.344095,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.351518,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.358753,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.367019,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.374529,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.381172,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.388962,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.398941,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.412323,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.426547,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.449223,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.472922,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.522919,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.539762,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.589447,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.621617,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.629236,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.636590,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.644074,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.651306,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.659444,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.666815,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.682111,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.696548,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.711530,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.734213,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.784275,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.786053,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.836742,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.884376,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.891750,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.899073,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.914215,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.921197,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.929040,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.936693,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.944136,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.951285,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.958925,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.966808,0.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:59.973645,0.5,0.0,0.0,0.0,0.0,-0.0
