time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2019/07/11/08:56:39.062814,109,1562828199,62695026,map,0,1,47.059168,15.458392,405.4,"(0.3279852899999999, 0.0, 0.0, 0.0, 0.42068195999999997, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:40.063216,110,1562828200,63095092,map,0,1,47.0591683333,15.4583921667,405.2,"(0.3279852899999999, 0.0, 0.0, 0.0, 0.42068195999999997, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:41.063428,111,1562828201,63123941,map,0,1,47.0591685,15.4583923333,405.1,"(0.3279852899999999, 0.0, 0.0, 0.0, 0.42068195999999997, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:42.061592,112,1562828202,61044931,map,0,1,47.059169,15.4583925,405.0,"(0.3279852899999999, 0.0, 0.0, 0.0, 0.42068195999999997, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:43.062883,113,1562828203,62678098,map,0,1,47.0591695,15.4583926667,404.9,"(0.32012964, 0.0, 0.0, 0.0, 0.4117788899999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:44.062583,114,1562828204,62449932,map,0,1,47.05917,15.4583928333,404.8,"(0.31236920999999995, 0.0, 0.0, 0.0, 0.40297104000000006, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:45.061847,115,1562828205,61485052,map,0,1,47.0591756667,15.4583943333,404.6,"(0.3047039999999999, 0.0, 0.0, 0.0, 0.39425841, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:46.060830,116,1562828206,60667991,map,0,1,47.0591833333,15.4583951667,404.6,"(0.35105625, 0.0, 0.0, 0.0, 0.46580625, 0.0, 0.0, 0.0, 144.0)",1
2019/07/11/08:56:47.060771,117,1562828207,60573101,map,0,1,47.0591886667,15.4583971667,404.5,"(0.28227968999999997, 0.0, 0.0, 0.0, 0.385641, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:48.058595,118,1562828208,58383941,map,0,1,47.0591905,15.4583975,404.5,"(0.27499535999999997, 0.0, 0.0, 0.0, 0.385641, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:49.061850,119,1562828209,61726093,map,0,1,47.0591915,15.4583978333,404.5,"(0.27604515999999996, 0.0, 0.0, 0.0, 0.39037504, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:56:50.063254,120,1562828210,63025951,map,0,1,47.0591961667,15.4584006667,404.4,"(0.23921881000000003, 0.0, 0.0, 0.0, 0.3397724100000001, 0.0, 0.0, 0.0, 114.91840000000002)",1
2019/07/11/08:56:51.063095,121,1562828211,62937021,map,0,1,47.059198,15.4584018333,404.3,"(0.24681023999999996, 0.0, 0.0, 0.0, 0.3603600899999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:56:52.060843,122,1562828212,60626029,map,0,1,47.0591995,15.4584035,404.2,"(0.24000200999999996, 0.0, 0.0, 0.0, 0.3603600899999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
