,Week,GPSTime,Latitude,Longitude,H-Ell,X-ECEF,Y-ECEF,Z-ECEF,VNorth,VEast,VUp,VX-ECEF,VY-ECEF,VZ-ECEF,SD-VX-ECE,SD-VY-ECE,SD-VZ-ECE,Heading,HdngSD,Roll,RollSD,Pitch,PitchSD,SDX-ECEF,SDY-ECEF,SDZ-ECEF,AmbStatus,HDOP,PDOP,VDOP,Easting,Northing,UTC
13158,2061,370514.9,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,-0.001,0,0,-0.001,0,0.001,0.001,0.001,49.5116322042,0.0188270565,-0.3519278665,0.0010885892,0.3310206366,0.0010854758,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828096.9
13159,2061,370515,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,-0.001,0,0,-0.001,0,0.001,0.001,0.001,49.5116608521,0.0188270248,-0.35174452,0.0010879178,0.3312269014,0.0010848001,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828097
13160,2061,370515.1,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,-0.001,-0.001,0,-0.001,0,0.001,0.001,0.001,49.5114832352,0.0188269932,-0.3518591116,0.0010872454,0.3318285071,0.0010841233,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828097.1
13161,2061,370515.2,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,-0.001,0,0,-0.001,0,0.001,0.001,0.001,49.5119301423,0.0188269615,-0.3517158721,0.0010865717,0.331490462,0.0010834453,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828097.2
13162,2061,370515.3,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0,-0.001,0,0,-0.001,0,0.001,0.001,0.001,49.5115863676,0.018826928,-0.3514236636,0.0010858959,0.3314446253,0.0010827652,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828097.3
13163,2061,370515.4,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0,0,0,0,0,0.001,0.001,0.001,49.5115118831,0.0188268963,-0.3516872242,0.001085218,0.3313071155,0.0010820829,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828097.4
13164,2061,370515.5,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0,0,-0.001,0,0,0.001,0.001,0.001,49.5114202098,0.0188268628,-0.3515096073,0.0010845389,0.3311123098,0.0010813995,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828097.5
13165,2061,370515.6,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0,0,-0.001,0,0,0.001,0.001,0.001,49.5113972915,0.018826833,-0.351635658,0.0010838587,0.3317712113,0.0010807149,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828097.6
13166,2061,370515.7,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0,0,-0.001,0,0.001,0.001,0.001,0.001,49.5116895,0.0188267995,-0.3516700355,0.0010831772,0.331679538,0.0010800292,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828097.7
13167,2061,370515.8,47.0591225026,15.4586022146,405.441,4195671.792,1160298.783,4646541.706,0.001,0,0,-0.001,0,0.001,0.001,0.001,0.001,49.5121364071,0.0188267678,-0.3516757651,0.0010824954,0.3313644112,0.001079343,0.005,0.002,0.006,Fixed,0.75,1.02,0.68,534826.992,5211836.249,1562828097.8
